Game Turn, Player, Action, Tech, Score
60, 4, Tech, TECH_IRON_WORKING, 2254.0, BOOSTED
60, 4, Tech, TECH_SHIPBUILDING, 593.7, 
60, 4, Tech, TECH_MATHEMATICS, 1020.3, 
60, 4, Tech, TECH_CONSTRUCTION, 2584.6, GOAL
60, 4, Tech, TECH_ENGINEERING, 2267.6, 
60, 4, Tech, TECH_APPRENTICESHIP, 1223.4, 
60, 4, Tech, TECH_STIRRUPS, 262.9, 
60, 4, Tech, TECH_CARTOGRAPHY, -14107.9, 
60, 4, Tech, TECH_SQUARE_RIGGING, -23513.2, 
60, 4, Contract 229
60, 4, Contract 716
60, 4, Contract 797
60, 4, Contract 835
60, 5, Tech, TECH_POTTERY, 408.1, RESEARCHING
60, 5, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 5, Tech, TECH_MINING, 0.0, OWNED
60, 5, Tech, TECH_SAILING, 0.0, OWNED
60, 5, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 5, Tech, TECH_IRRIGATION, 1019.0, BOOSTED
60, 5, Tech, TECH_ARCHERY, 0.0, OWNED
60, 5, Tech, TECH_WRITING, 744.1, 
60, 5, Tech, TECH_MASONRY, 331.2, BOOSTED
60, 5, Tech, TECH_BRONZE_WORKING, 356.7, BOOSTED
60, 5, Tech, TECH_THE_WHEEL, 231.5, 
60, 5, Tech, TECH_CELESTIAL_NAVIGATION, 0.0, OWNED
60, 5, Tech, TECH_CURRENCY, 1418.2, GOAL
60, 5, Tech, TECH_HORSEBACK_RIDING, 201.7, 
60, 5, Tech, TECH_IRON_WORKING, 279.5, 
60, 5, Tech, TECH_SHIPBUILDING, 631.7, 
60, 5, Tech, TECH_CONSTRUCTION, 612.9, 
60, 5, Tech, TECH_ENGINEERING, 365.7, 
60, 5, Tech, TECH_MACHINERY, -8765.7, 
60, 5, Tech, TECH_STIRRUPS, 240.8, 
60, 5, Tech, TECH_MILITARY_ENGINEERING, -8853.2, 
60, 5, Tech, TECH_CASTLES, -8853.2, 
60, 5, Tech, TECH_CARTOGRAPHY, -14050.9, 
60, 5, Tech, TECH_SQUARE_RIGGING, -23418.2, 
60, 5, Contract 216
60, 5, Contract 815
60, 6, Tech, TECH_POTTERY, 0.0, OWNED
60, 6, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 6, Tech, TECH_MINING, 0.0, OWNED
60, 6, Tech, TECH_SAILING, 355.6, BOOSTED
60, 6, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 6, Tech, TECH_IRRIGATION, 342.4, 
60, 6, Tech, TECH_ARCHERY, 0.0, OWNED
60, 6, Tech, TECH_WRITING, 0.0, OWNED
60, 6, Tech, TECH_MASONRY, 510.4, 
60, 6, Tech, TECH_BRONZE_WORKING, 0.0, OWNED
60, 6, Tech, TECH_THE_WHEEL, 0.0, OWNED
60, 6, Tech, TECH_CELESTIAL_NAVIGATION, 720.7, 
60, 6, Tech, TECH_CURRENCY, 504.0, 
60, 6, Tech, TECH_HORSEBACK_RIDING, 239.1, RESEARCHING
60, 6, Tech, TECH_IRON_WORKING, 436.9, 
60, 6, Tech, TECH_SHIPBUILDING, 729.4, 
60, 6, Tech, TECH_MATHEMATICS, 657.4, 
60, 6, Tech, TECH_CONSTRUCTION, 892.3, 
60, 6, Tech, TECH_ENGINEERING, 338.3, BOOSTED
60, 6, Tech, TECH_MILITARY_TACTICS, 1236.2, 
60, 6, Tech, TECH_APPRENTICESHIP, 843.0, 
60, 6, Tech, TECH_MACHINERY, 863.4, 
60, 6, Tech, TECH_EDUCATION, -7755.5, 
60, 6, Tech, TECH_STIRRUPS, 301.4, 
60, 6, Tech, TECH_MILITARY_ENGINEERING, 1675.8, 
60, 6, Tech, TECH_CASTLES, 1682.0, GOAL
60, 6, Tech, TECH_CARTOGRAPHY, 1121.1, 
60, 6, Tech, TECH_PRINTING, -8360.4, 
60, 6, Contract 232
60, 6, Contract 802
60, 6, Contract 838
60, 7, Tech, TECH_POTTERY, 0.0, OWNED
60, 7, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 7, Tech, TECH_MINING, 0.0, OWNED
60, 7, Tech, TECH_SAILING, 0.0, OWNED
60, 7, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 7, Tech, TECH_IRRIGATION, 0.0, OWNED
60, 7, Tech, TECH_ARCHERY, 0.0, OWNED
60, 7, Tech, TECH_WRITING, 0.0, OWNED
60, 7, Tech, TECH_MASONRY, 306.0, 
60, 7, Tech, TECH_BRONZE_WORKING, 620.5, BOOSTED
60, 7, Tech, TECH_THE_WHEEL, 298.0, 
60, 7, Tech, TECH_CELESTIAL_NAVIGATION, 342.2, 
60, 7, Tech, TECH_CURRENCY, 277.1, 
60, 7, Tech, TECH_HORSEBACK_RIDING, 276.0, RESEARCHING
60, 7, Tech, TECH_IRON_WORKING, 739.3, 
60, 7, Tech, TECH_SHIPBUILDING, 287.9, 
60, 7, Tech, TECH_MATHEMATICS, 365.7, 
60, 7, Tech, TECH_CONSTRUCTION, 639.0, 
60, 7, Tech, TECH_ENGINEERING, 430.7, 
60, 7, Tech, TECH_MILITARY_TACTICS, -9356.2, 
60, 7, Tech, TECH_APPRENTICESHIP, 864.7, 
60, 7, Tech, TECH_MACHINERY, -7910.6, 
60, 7, Tech, TECH_EDUCATION, -8215.5, 
60, 7, Tech, TECH_STIRRUPS, 290.7, 
60, 7, Tech, TECH_MILITARY_ENGINEERING, -8778.0, 
60, 7, Tech, TECH_CASTLES, -8778.0, 
60, 7, Tech, TECH_CARTOGRAPHY, -9711.1, 
60, 7, Tech, TECH_SQUARE_RIGGING, -19422.2, 
