Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
60, 22, Wander, , , UNIT_WARRIOR (458752), Move To: 15 42
60, 22, Wander, , , UNIT_WARRIOR (393219), Move To: 14 42
60, 23, Wander, , , UNIT_ARCHER (327680), Move To: 63 14
60, 23, Wander, , , UNIT_WARRIOR (131073), Move To: 55 15
60, 23, Wander, , , UNIT_WARRIOR (196610), Move To: 54 15
60, 23, Wander, , , UNIT_ARCHER (393219), Move To: 63 16
60, 24, Wander, , , UNIT_ARCHER (458752), Move To: 59 40
60, 24, Wander, , , UNIT_WARRIOR (196610), Move To: 61 37
60, 24, Wander, , , UNIT_ARCHER (393219), Move To: 58 44
60, 24, Wander, , , UNIT_ARCHER (589829), Move To: 60 40
60, 63, Barbarian Rampage, TARGET_LOW_PRIORITY_UNIT, ?, UNIT_QUADRIREME (3145775), 54:11
60, 63, Barbarian Rampage, TARGET_ENEMY_PASSIVE_DISTRICT, ?, UNIT_QUADRIREME (4325441), 5:16
60, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_AZTEC_EAGLE_WARRIOR (327683), UNIT_SLINGER (3342386), Expected Damage: 0, Move 22 40 Attack 21 41
60, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_AZTEC_EAGLE_WARRIOR (327683), UNIT_WARRIOR (5439570), Expected Damage: 0, Move 21 40 Attack 21 41
60, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_AZTEC_EAGLE_WARRIOR (327683), UNIT_WARRIOR (5963866), Expected Damage: 0, Move 20 41 Attack 21 41
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (917517), AT: 14 2
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (2031646), AT: 61 2
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1900572), AT: 21 13
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (524295), AT: 29 19
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (2752553), AT: 56 24
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (3211312), AT: 46 31
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (3080238), AT: 21 35
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (2228257), AT: 35 36
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1703961), AT: 81 37
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (786443), AT: 5 47
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1179665), AT: 20 47
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1310739), AT: 75 48
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (4653126), AT: 12 50
60, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1441813), AT: 57 50
60, 63, Wander, , , UNIT_WARRIOR (2621479), Move To: 29 23
60, 63, Wander, , , UNIT_WARRIOR (3407923), Move To: 74 46
60, 63, Wander, , , UNIT_SLINGER (4456515), Move To: 29 21
60, 63, Wander, , , UNIT_QUADRIREME (5046348), Move To: 21 33
60, 63, Wander, , , UNIT_WARRIOR (5242959), Move To: 21 42
60, 63, Wander, , , UNIT_SLINGER (5308496), Move To: 73 44
60, 63, Wander, , , UNIT_WARRIOR (5701718), Move To: 17 46
60, 63, Wander, , , UNIT_QUADRIREME (6094940), Move To: 36 32
60, 63, Wander, , , UNIT_WARRIOR (6422625), Move To: 7 48
60, 63, Wander, , , UNIT_WARRIOR (6488162), Move To: 20 46
60, 63, Wander, , , UNIT_WARRIOR (6619236), Move To: 29 22
60, 63, Wander, , , UNIT_WARRIOR (6815847), Move To: 20 45
60, 63, Wander, , , UNIT_QUADRIREME (7012458), Move To: 24 33
60, 63, Wander, , , UNIT_WARRIOR (7274606), Move To: 73 43
60, 63, Wander, , , UNIT_WARRIOR (7733365), Move To: 18 13
60, 63, Wander, , , UNIT_WARRIOR (7798902), Move To: 63 5
60, 63, Wander, , , UNIT_QUADRIREME (8061050), Move To: 34 37
60, 63, Wander, , , UNIT_WARRIOR (8192124), Move To: 6 47
60, 63, HL: Move To Safety, , , UNIT_SCOUT (851980), Move To: 13 50
60, 63, HL: Move To Safety, , , UNIT_SCOUT (1245202), Move To: 22 37
60, 63, HL: Explore fallback, , , UNIT_SCOUT (589832), Move To: 27 27
60, 63, HL: Explore fallback, , , UNIT_SCOUT (5505107), Move To: 81 42
60, 63, HL: Explore tertiary regions, , , UNIT_SCOUT (7864439), Move To: 60 15
60, 63, HL: Explore cur region, , , UNIT_SCOUT (7929976), Move To: 15 43
60, 63, HL: End Turn, , , UNIT_SCOUT (589832)
60, 63, HL: End Turn, , , UNIT_SCOUT (1769498)
60, 63, HL: End Turn, , , UNIT_SCOUT (5505107)
60, 63, HL: End Turn, , , UNIT_BUILDER (5636181)
60, 63, HL: End Turn, , , UNIT_SCOUT (7864439)
60, 63, HL: End Turn, , , UNIT_SCOUT (7929976)
61, 2, HL: Explore, , , UNIT_SCOUT (196608), Move To: 53 17
61, 2, HL: End Turn, , , UNIT_SCOUT (196608)
61, 2, HL: End Turn, , , UNIT_SCOUT (524294)
61, 4, HL: Explore primary regions, , , UNIT_SCOUT (196608), Move To: 14 50
61, 4, HL: Explore fallback, , , UNIT_SCOUT (524292), Move To: 13 44
61, 4, HL: End Turn, , , UNIT_SCOUT (196608)
61, 4, HL: End Turn, , , UNIT_SCOUT (524292)
61, 5, HL: Explore fallback, , , UNIT_SCOUT (196608), Move To: 53 41
61, 5, HL: Explore fallback, , , UNIT_SCOUT (262146), Move To: 48 32
61, 5, HL: End Turn, , , UNIT_SCOUT (196608)
61, 5, HL: End Turn, , , UNIT_SCOUT (262146)
61, 7, HL: End Turn, , , UNIT_BUILDER (786439)
61, 8, Wander, , , UNIT_SLINGER (262144), Move To: 15 20
61, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 13 18
61, 8, Wander, , , UNIT_ARCHER (720899), Move To: 9 23
61, 8, Wander, , , UNIT_ARCHER (524294), Move To: 14 23
61, 8, Wander, , , UNIT_ARCHER (589831), Move To: 13 26
61, 8, Wander, , , UNIT_ARCHER (655368), Move To: 13 17
61, 8, Wander, , , UNIT_ARCHER (786441), Move To: 10 22
61, 8, Wander, , , UNIT_ARCHER (851978), Move To: 10 21
61, 9, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_SCOUT (2097183), UNIT_WARRIOR (131073), Expected Damage: 0, Move 60 8 Attack -9999 -9999
61, 9, Heal, , , UNIT_WARRIOR (524293), 
61, 9, Wander, , , UNIT_WARRIOR (589824), Move To: 56 8
61, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 59 12
61, 9, Wander, , , UNIT_WARRIOR (327683), Move To: 56 14
61, 9, Wander, , , UNIT_WARRIOR (458756), Move To: 57 10
61, 10, Wander, , , UNIT_ARCHER (458752), Move To: 16 20
61, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 19 16
61, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 15 22
61, 10, Wander, , , UNIT_ARCHER (524292), Move To: 15 19
61, 10, Wander, , , UNIT_ARCHER (655366), Move To: 18 18
61, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 64 23
61, 11, Wander, , , UNIT_ARCHER (327683), Move To: 64 21
61, 11, Wander, , , UNIT_ARCHER (393220), Move To: 67 22
61, 11, Wander, , , UNIT_ARCHER (458757), Move To: 66 20
61, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 67 14
61, 12, Wander, , , UNIT_ARCHER (393219), Move To: 64 16
61, 13, Heal, , , UNIT_WARRIOR (196610), 
61, 13, Wander, , , UNIT_SLINGER (262144), Move To: 77 29
61, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 77 28
61, 13, Wander, , , UNIT_ARCHER (458756), Move To: 78 27
61, 13, Wander, , , UNIT_ARCHER (524293), Move To: 78 24
61, 14, Wander, , , UNIT_WARRIOR (524289), Move To: 75 13
61, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 74 17
61, 14, Wander, , , UNIT_ARCHER (786435), Move To: 75 15
61, 14, Wander, , , UNIT_WARRIOR (458756), Move To: 75 17
61, 14, Wander, , , UNIT_WARRIOR (655365), Move To: 78 12
61, 14, Wander, , , UNIT_ARCHER (720902), Move To: 76 17
61, 14, Wander, , , UNIT_ARCHER (851975), Move To: 77 13
61, 14, HL: End Turn, , , UNIT_BUILDER (589824)
61, 15, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_SCOUT (2097183), UNIT_ARCHER (458756), Expected Damage: 0, Move 61 8 Attack 59 8
61, 15, Wander, , , UNIT_ARCHER (524288), Move To: 63 9
61, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 62 14
61, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 67 10
61, 15, HL: End Turn, , , UNIT_BUILDER (393219)
61, 16, Wander, , , UNIT_WARRIOR (393216), Move To: 27 15
61, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 29 13
61, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 26 15
61, 16, Wander, , , UNIT_WARRIOR (524293), Move To: 25 14
61, 17, Heal, , , UNIT_ARCHER (393220), 
61, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 50 40
61, 17, Wander, , , UNIT_ARCHER (458755), Move To: 52 41
61, 17, HL: End Turn, , , UNIT_BUILDER (524288)
61, 18, Move to safety, , , UNIT_ARCHER (458752), Current Danger: 20
61, 18, Move to safety, , , UNIT_ARCHER (458752), Current Danger: 45
61, 18, Attack Units, TARGET_LOW_PRIORITY_UNIT, UNIT_WARRIOR (5570644), UNIT_WARRIOR (196610), Expected Damage: 0, Move 72 32 Attack 73 32
61, 18, Attack Units, TARGET_LOW_PRIORITY_UNIT, UNIT_WARRIOR (5570644), UNIT_ARCHER (393220), Expected Damage: 0, Move 72 30 Attack -9999 -9999
