[2018-01-30 21:09:38]	 ,                LuaContext::CityBannerManager, 6.88 ms
[2018-01-30 21:09:38]	 ,            GameCoreEvent::CityAddedToMap, 6.91 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 11.91 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 11.96 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.71 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.74 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.81 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.86 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 8.45 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 8.49 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.78 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.81 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 9.15 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 9.20 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.66 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.70 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.62 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.66 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.76 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.81 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.68 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.72 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.68 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.72 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.65 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.69 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.64 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.69 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.79 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.84 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.68 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.76 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.68 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.72 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.82 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.87 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.72 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.77 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 38.10 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 38.15 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.93 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.97 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.66 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.71 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 7.96 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 8.00 ms
