Game Turn, Mode, Player, Unit, Operation
060, Adding, 7, UNIT_AZTEC_EAGLE_WARRIOR (393220), UNITOPERATION_MOVE_TO (19)
060, Adding, 7, UNIT_SCOUT (196608), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 7, UNIT_SCOUT (196608), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 7, UNIT_SCOUT (196608), UNITOPERATION_MOVE_TO (19)
060, Adding, 7, UNIT_SCOUT (196608), UNITOPERATION_MOVE_TO (19)
060, Adding, 7, UNIT_BUILDER (524290), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 7, UNIT_BUILDER (524290), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 7, UNIT_BUILDER (524290), UNITOPERATION_MOVE_TO (19)
060, Adding, 7, UNIT_BUILDER (589830), UNITOPERATION_MOVE_TO (19)
060, Adding, 7, UNIT_BUILDER (589830), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 7, UNIT_BUILDER (589830), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 7, UNIT_BUILDER (589830), UNITOPERATION_MOVE_TO (19)
060, Adding, 8, UNIT_WARRIOR (196610), UNITOPERATION_FORTIFY (12)
060, Can't Start, 8, UNIT_WARRIOR (196610), UNITOPERATION_FORTIFY (12)
060, Adding, 8, UNIT_BUILDER (393220), UNITOPERATION_REMOVE_FEATURE (28)
060, Can't Start, 8, UNIT_BUILDER (393220), UNITOPERATION_REMOVE_FEATURE (28)
060, Adding, 8, UNIT_SLINGER (262144), UNITOPERATION_MOVE_TO (19)
060, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 8, UNIT_ARCHER (720899), UNITOPERATION_MOVE_TO (19)
060, Adding, 8, UNIT_ARCHER (524294), UNITOPERATION_MOVE_TO (19)
060, Adding, 8, UNIT_ARCHER (589831), UNITOPERATION_MOVE_TO (19)
060, Adding, 8, UNIT_ARCHER (655368), UNITOPERATION_MOVE_TO (19)
060, Adding, 8, UNIT_ARCHER (786441), UNITOPERATION_MOVE_TO (19)
060, Adding, 8, UNIT_ARCHER (851978), UNITOPERATION_MOVE_TO (19)
060, Adding, 9, UNIT_WARRIOR (131073), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 9, UNIT_WARRIOR (131073), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 9, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 9, UNIT_WARRIOR (327683), UNITOPERATION_FORTIFY (12)
060, Can't Start, 9, UNIT_WARRIOR (327683), UNITOPERATION_FORTIFY (12)
060, Adding, 9, UNIT_WARRIOR (589824), UNITOPERATION_MOVE_TO (19)
060, Adding, 9, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 9, UNIT_WARRIOR (458756), UNITOPERATION_MOVE_TO (19)
060, Adding, 9, UNIT_WARRIOR (524293), UNITOPERATION_MOVE_TO (19)
060, Adding, 10, UNIT_ARCHER (458752), UNITOPERATION_MOVE_TO (19)
060, Adding, 10, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 10, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 10, UNIT_ARCHER (524292), UNITOPERATION_MOVE_TO (19)
060, Adding, 10, UNIT_ARCHER (655366), UNITOPERATION_MOVE_TO (19)
060, Adding, 11, UNIT_WARRIOR (262144), UNITOPERATION_FORTIFY (12)
060, Can't Start, 11, UNIT_WARRIOR (262144), UNITOPERATION_FORTIFY (12)
060, Adding, 11, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 11, UNIT_ARCHER (327683), UNITOPERATION_MOVE_TO (19)
060, Adding, 11, UNIT_ARCHER (393220), UNITOPERATION_MOVE_TO (19)
060, Adding, 11, UNIT_ARCHER (458757), UNITOPERATION_MOVE_TO (19)
060, Adding, 12, UNIT_WARRIOR (196610), UNITOPERATION_FORTIFY (12)
060, Adding, 12, UNIT_BUILDER (524292), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 12, UNIT_BUILDER (524292), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 12, UNIT_BUILDER (524292), UNITOPERATION_MOVE_TO (19)
060, Adding, 12, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 12, UNIT_ARCHER (393219), UNITOPERATION_MOVE_TO (19)
060, Adding, 13, UNIT_WARRIOR (196610), UNITOPERATION_FORTIFY (12)
060, Can't Start, 13, UNIT_WARRIOR (196610), UNITOPERATION_FORTIFY (12)
060, Adding, 13, UNIT_SLINGER (262144), UNITOPERATION_MOVE_TO (19)
060, Adding, 13, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 13, UNIT_ARCHER (458756), UNITOPERATION_MOVE_TO (19)
060, Adding, 13, UNIT_ARCHER (524293), UNITOPERATION_MOVE_TO (19)
060, Adding, 14, UNIT_WARRIOR (524289), UNITOPERATION_MOVE_TO (19)
060, Adding, 14, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 14, UNIT_ARCHER (786435), UNITOPERATION_MOVE_TO (19)
060, Adding, 14, UNIT_WARRIOR (458756), UNITOPERATION_MOVE_TO (19)
060, Adding, 14, UNIT_WARRIOR (655365), UNITOPERATION_MOVE_TO (19)
060, Adding, 14, UNIT_ARCHER (720902), UNITOPERATION_MOVE_TO (19)
060, Adding, 14, UNIT_BUILDER (589824), UNITOPERATION_SKIP_TURN (36)
060, Adding, 15, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 15, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 15, UNIT_ARCHER (458756), UNITOPERATION_MOVE_TO (19)
060, Adding, 15, UNIT_BUILDER (393219), UNITOPERATION_SKIP_TURN (36)
060, Adding, 16, UNIT_WARRIOR (458756), UNITOPERATION_MOVE_TO (19)
060, Adding, 16, UNIT_ARCHER (589827), UNITOPERATION_MOVE_TO (19)
060, Adding, 16, UNIT_WARRIOR (393216), UNITOPERATION_MOVE_TO (19)
